date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:26:44	96349/96349	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Jul%202022%2017:26:43%20GMT	https://betterproposals.io/template/index.php?ProposalID=VRIxrvGyg15ozxHv4s2HlrJQEXhAhbE85A4hO2EaNjY&cat=website	C:/My%20Web%20Sites/web%20design%20proposal/betterproposals.io/template/index5633.html	(from )
22:26:45	155/155	---M-Z	200	added ('OK')	text/plain	date:Thu,%2007%20Jul%202022%2017:26:45%20GMT	https://betterproposals.io/robots.txt		(from )
22:26:46	7448/7448	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2017:26:45%20GMT	https://betterproposals.io/2/css/normalize.css	C:/My%20Web%20Sites/web%20design%20proposal/betterproposals.io/2/css/normalize.css	(from https://betterproposals.io/template/index.php?ProposalID=VRIxrvGyg15ozxHv4s2HlrJQEXhAhbE85A4hO2EaNjY&cat=website)
22:26:46	394099/394099	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2017:26:45%20GMT	https://betterproposals.io/2/editor/css/uikit.css	C:/My%20Web%20Sites/web%20design%20proposal/betterproposals.io/2/editor/css/uikit.css	(from https://betterproposals.io/template/index.php?ProposalID=VRIxrvGyg15ozxHv4s2HlrJQEXhAhbE85A4hO2EaNjY&cat=website)
22:26:46	36639/36639	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2017:26:45%20GMT	https://betterproposals.io/2/editor/css/main.css?v=1.0.0	C:/My%20Web%20Sites/web%20design%20proposal/betterproposals.io/2/editor/css/maine209.css	(from https://betterproposals.io/template/index.php?ProposalID=VRIxrvGyg15ozxHv4s2HlrJQEXhAhbE85A4hO2EaNjY&cat=website)
22:26:46	10483/10483	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2017:26:46%20GMT	https://betterproposals.io/2/editor/css/bp-font.css	C:/My%20Web%20Sites/web%20design%20proposal/betterproposals.io/2/editor/css/bp-font.css	(from https://betterproposals.io/template/index.php?ProposalID=VRIxrvGyg15ozxHv4s2HlrJQEXhAhbE85A4hO2EaNjY&cat=website)
22:26:47	22559/22559	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2017:26:46%20GMT	https://betterproposals.io/2/editor/css/trims.css	C:/My%20Web%20Sites/web%20design%20proposal/betterproposals.io/2/editor/css/trims.css	(from https://betterproposals.io/template/index.php?ProposalID=VRIxrvGyg15ozxHv4s2HlrJQEXhAhbE85A4hO2EaNjY&cat=website)
22:26:47	5507/5507	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2017:26:46%20GMT	https://betterproposals.io/2/editor/css/patterns.css	C:/My%20Web%20Sites/web%20design%20proposal/betterproposals.io/2/editor/css/patterns.css	(from https://betterproposals.io/template/index.php?ProposalID=VRIxrvGyg15ozxHv4s2HlrJQEXhAhbE85A4hO2EaNjY&cat=website)
22:26:47	95/95	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2017:26:46%20GMT	https://betterproposals.io/2/editor/css/filters.css	C:/My%20Web%20Sites/web%20design%20proposal/betterproposals.io/2/editor/css/filters.css	(from https://betterproposals.io/template/index.php?ProposalID=VRIxrvGyg15ozxHv4s2HlrJQEXhAhbE85A4hO2EaNjY&cat=website)
22:26:47	478/478	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2017:26:47%20GMT	https://betterproposals.io/2/editor/css/media-bg.css	C:/My%20Web%20Sites/web%20design%20proposal/betterproposals.io/2/editor/css/media-bg.css	(from https://betterproposals.io/template/index.php?ProposalID=VRIxrvGyg15ozxHv4s2HlrJQEXhAhbE85A4hO2EaNjY&cat=website)
22:26:48	7116/7116	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2017:26:47%20GMT	https://betterproposals.io/2/editor/css/pricing-table.css	C:/My%20Web%20Sites/web%20design%20proposal/betterproposals.io/2/editor/css/pricing-table.css	(from https://betterproposals.io/template/index.php?ProposalID=VRIxrvGyg15ozxHv4s2HlrJQEXhAhbE85A4hO2EaNjY&cat=website)
22:26:48	1441/1441	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2017:26:47%20GMT	https://betterproposals.io/2/editor/css/tinymce-custom.css	C:/My%20Web%20Sites/web%20design%20proposal/betterproposals.io/2/editor/css/tinymce-custom.css	(from https://betterproposals.io/template/index.php?ProposalID=VRIxrvGyg15ozxHv4s2HlrJQEXhAhbE85A4hO2EaNjY&cat=website)
22:26:48	2238/2238	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2017:26:47%20GMT	https://betterproposals.io/proposal/css/viewer.css	C:/My%20Web%20Sites/web%20design%20proposal/betterproposals.io/proposal/css/viewer.css	(from https://betterproposals.io/template/index.php?ProposalID=VRIxrvGyg15ozxHv4s2HlrJQEXhAhbE85A4hO2EaNjY&cat=website)
22:26:48	2993/2993	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2017:26:47%20GMT	https://betterproposals.io/proposal/css/view-trims.css	C:/My%20Web%20Sites/web%20design%20proposal/betterproposals.io/proposal/css/view-trims.css	(from https://betterproposals.io/template/index.php?ProposalID=VRIxrvGyg15ozxHv4s2HlrJQEXhAhbE85A4hO2EaNjY&cat=website)
22:26:48	2816/2816	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2017:26:48%20GMT	https://betterproposals.io/proposal/css/signature-pad.css	C:/My%20Web%20Sites/web%20design%20proposal/betterproposals.io/proposal/css/signature-pad.css	(from https://betterproposals.io/template/index.php?ProposalID=VRIxrvGyg15ozxHv4s2HlrJQEXhAhbE85A4hO2EaNjY&cat=website)
22:26:49	1245/1245	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2017:26:48%20GMT	https://betterproposals.io/template/css/style.css	C:/My%20Web%20Sites/web%20design%20proposal/betterproposals.io/template/css/style.css	(from https://betterproposals.io/template/index.php?ProposalID=VRIxrvGyg15ozxHv4s2HlrJQEXhAhbE85A4hO2EaNjY&cat=website)
22:26:49	2381/2381	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2017:26:48%20GMT	https://betterproposals.io/2/editor/css/responsive.css	C:/My%20Web%20Sites/web%20design%20proposal/betterproposals.io/2/editor/css/responsive.css	(from https://betterproposals.io/template/index.php?ProposalID=VRIxrvGyg15ozxHv4s2HlrJQEXhAhbE85A4hO2EaNjY&cat=website)
22:26:49	5669/5669	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Jul%202022%2017:26:49%20GMT	https://use.typekit.net/uci0kgk.css	C:/My%20Web%20Sites/web%20design%20proposal/use.typekit.net/uci0kgk.css	(from https://betterproposals.io/template/index.php?ProposalID=VRIxrvGyg15ozxHv4s2HlrJQEXhAhbE85A4hO2EaNjY&cat=website)
22:26:50	3801/3801	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jul%202022%2017:26:49%20GMT	https://betterproposals.io/2/img/icons/favicon.png	C:/My%20Web%20Sites/web%20design%20proposal/betterproposals.io/2/img/icons/favicon.png	(from https://betterproposals.io/template/index.php?ProposalID=VRIxrvGyg15ozxHv4s2HlrJQEXhAhbE85A4hO2EaNjY&cat=website)
